lambda,V_R,J_R,mean_task_return,success_rate,mean_final_distance_to_pad
0.0,31.973189946767402,0.204080423679804,131.34364992676743,0.64,0.26373278715296145
15.0,31.307654789742955,0.19131808561732672,109.48459824440123,0.56,0.23547961652343
30.0,32.47405989224107,0.1847781851205453,117.23295394240905,0.5933333333333334,0.22310805255387733
50.0,31.756697457761195,0.1804245960124671,133.47652616534228,0.64,0.2454473289698774
100.0,31.8881019216757,0.17134551757109914,130.70117682350002,0.66,0.2026646110495593
200.0,31.851300332948316,0.16566413347548667,113.07585365284329,0.5733333333333334,0.22231638416097127
500.0,30.930295649532265,0.16532304863161026,90.94759972886224,0.4533333333333333,0.2257737016177253
1000.0,31.098438432350566,0.16408590215866728,114.16834549710164,0.6,0.23374160758010262
