crash_rate,episodes,lambda,mean_discounted_task_return,mean_discounted_theta_star_variation,mean_final_distance_to_pad,mean_final_speed,mean_max_abs_theta_tracking_error,mean_mean_abs_theta_tracking_error,mean_official_return,mean_task_return,mean_theta_star_variation,out_of_bounds_rate,success_rate,truncated_rate,wn,zeta
0.04666666666666667,150,0.0,25.744116145478817,0.19847199328780452,0.4229034651739259,0.11683631936542156,0.22052373827895402,0.06008907396470389,109.45098341577594,109.754271845655,1.158538612126876,0.16666666666666666,0.7133333333333334,0.07333333333333333,0.5,0.3
0.02,150,0.0,28.8554484061701,0.20161410174363487,0.3137823789500191,0.06845205365597785,0.15555045077552893,0.02479384162835031,147.82129387041283,148.89936050733934,1.1543260914700462,0.11333333333333333,0.8133333333333334,0.05333333333333334,1.0,0.3
0.013333333333333334,150,0.0,30.214438120509353,0.23008067043122082,0.3069832574378221,0.05708966331210929,0.15044724898204245,0.019550907502542212,143.3021345491998,150.1727037395051,1.416994723653136,0.10666666666666667,0.8133333333333334,0.06666666666666667,2.0,0.3
0.02666666666666667,150,0.0,31.111685467160097,0.24796498035910577,0.3016217345005352,0.04584645843154993,0.14598636207520307,0.01736847372926059,142.571166497337,152.16646190510122,1.5591701450255095,0.09333333333333334,0.8133333333333334,0.06666666666666667,4.0,0.3
0.013333333333333334,150,0.0,31.45815067128802,0.2642578765289585,0.29462301516398315,0.042874124310015894,0.14448669140751272,0.017290761888794182,144.59704644237968,156.31014345746974,1.7035986375790837,0.08666666666666667,0.8266666666666667,0.07333333333333333,6.0,0.3
0.013333333333333334,150,0.0,31.770269468987152,0.2809841119116196,0.28903408662155944,0.04105254250588581,0.1466917508199613,0.018184809705883414,145.20419189777633,158.64928894847924,1.832784321523873,0.08,0.8333333333333334,0.07333333333333333,8.0,0.3
0.013333333333333334,150,0.0,31.92650314498101,0.29063154634835153,0.29108898861112226,0.04190130199276066,0.1483543633385643,0.019310271216659996,141.0358517348617,155.46987792577968,1.911493411612437,0.08666666666666667,0.82,0.08,10.0,0.3
0.02666666666666667,150,0.0,32.169677825824145,0.2961457701617807,0.2846104079419398,0.04381467205542108,0.15536288246967406,0.020070259813787295,139.1236335996695,154.17721305649087,1.9577866121310414,0.07333333333333333,0.82,0.08,12.0,0.3
0.05333333333333334,150,0.0,22.2295048757841,0.19185058987333356,0.5190642045358406,0.15874241700068764,0.22205913291309923,0.05066985230327457,83.98086326440561,85.17374121164481,1.0756670190162398,0.24666666666666667,0.6466666666666666,0.05333333333333334,0.5,0.7
0.03333333333333333,150,0.0,25.398707988985368,0.2226323846929075,0.40226751758851614,0.10152022440518557,0.15754697107041546,0.032330046724414994,116.16665979233466,122.7672133119854,1.3062915175900291,0.18666666666666668,0.7333333333333333,0.04666666666666667,1.0,0.7
0.013333333333333334,150,0.0,28.67036952538382,0.24227322006832822,0.32276289377420414,0.0780454559758499,0.16169269815883014,0.02572244770571294,133.6178838706952,143.0231446473667,1.5171567074548815,0.12,0.7933333333333333,0.07333333333333333,2.0,0.7
0.02,150,0.0,30.108712705679974,0.26787971423591417,0.3107639454978122,0.0584494718413679,0.1528572390478123,0.02125273835039886,136.4035559755825,148.8477523873423,1.732100262592153,0.10666666666666667,0.8066666666666666,0.06666666666666667,4.0,0.7
0.02,150,0.0,30.749850931245323,0.28462786609487317,0.297930363244059,0.046223964172075575,0.1462781147169118,0.018318513886210048,141.57786411353766,155.63939054077744,1.8491951128103885,0.08,0.8266666666666667,0.07333333333333333,6.0,0.7
0.02666666666666667,150,0.0,31.00814218198202,0.2908768072494553,0.2982382716886516,0.04611778088556422,0.14472883905585476,0.017927158154096148,140.4179142087265,155.0327591568754,1.8937118999461742,0.08666666666666667,0.8266666666666667,0.06,8.0,0.7
0.02,150,0.0,31.135013966350567,0.29567562425347366,0.2996826857802188,0.04740469001075631,0.14649525489203014,0.01840390709286145,137.7707076052522,152.81470954693538,1.9397883056162604,0.09333333333333334,0.8133333333333334,0.07333333333333333,10.0,0.7
0.02,150,0.0,31.294669335646407,0.298154457762968,0.2982339290749252,0.04230207227852432,0.14661907701992372,0.018888791020059192,137.28303963587058,152.60548929360866,1.9610741015007958,0.08666666666666667,0.8066666666666666,0.08666666666666667,12.0,0.7
0.04666666666666667,150,0.0,20.719003114802852,0.20149176537182997,0.5763160615323627,0.1762724196092995,0.177599030159195,0.05102848035311425,67.86024694886473,71.53580074147958,1.086680760060079,0.30666666666666664,0.5866666666666667,0.06,0.5,1.0
0.02666666666666667,150,0.0,23.987535834668808,0.22564189378417676,0.4723361574687131,0.12476414552248623,0.17909334763474308,0.04053641676818119,96.03360019004417,103.62936993611488,1.335878707887011,0.22,0.6866666666666666,0.06666666666666667,1.0,1.0
0.02666666666666667,150,0.0,27.502656425501893,0.24752098507200843,0.34582204105988323,0.08909970857440247,0.1622718530798444,0.028791481279994747,122.32528442361561,132.8549595596765,1.5580030003299428,0.14,0.7666666666666667,0.06666666666666667,2.0,1.0
0.02666666666666667,150,0.0,29.428307650658585,0.2784323010160888,0.3237003645269986,0.07067135852770733,0.15541877824950415,0.02268054712696844,130.28690714046925,143.9077315394826,1.8026009117357868,0.12,0.8,0.05333333333333334,4.0,1.0
0.013333333333333334,150,0.0,30.20036293741335,0.28951785560582605,0.3085892662091254,0.05914497928104237,0.15224079859306544,0.020931138127170283,135.54196581393933,150.09216229420912,1.866229991824558,0.11333333333333333,0.8133333333333334,0.06,6.0,1.0
0.02666666666666667,150,0.0,30.599799099633874,0.29553164155502315,0.3017892315399869,0.049768487408824405,0.14563519005417305,0.018974059132942558,135.43277504225676,150.59082381662213,1.936628153476895,0.09333333333333334,0.8066666666666666,0.07333333333333333,8.0,1.0
0.02,150,0.0,30.896632350015388,0.2986002834768185,0.3024284926117765,0.04441098270189117,0.1478058536317202,0.01811466887369198,141.81220483665612,157.1296940415498,1.940166845399843,0.08666666666666667,0.84,0.05333333333333334,10.0,1.0
0.02666666666666667,150,0.0,31.05408414568138,0.30013128375614506,0.30276944887999135,0.046015637130753316,0.1454593212624024,0.0179852299795671,138.33763735126212,153.77204035731657,1.9639108842464141,0.08666666666666667,0.82,0.06666666666666667,12.0,1.0
0.03333333333333333,150,15.0,25.967585719837437,0.1891666243587631,0.3626879691645389,0.11481584775579443,0.20736973407870732,0.05411121141173496,97.58656629629016,97.92930557682195,1.249142677592063,0.15333333333333332,0.66,0.15333333333333332,0.5,0.3
0.006666666666666667,150,15.0,28.315269743808276,0.19047841177738917,0.29494225849126227,0.07580167647505365,0.14768807362578304,0.023587627006091374,120.0329113477289,121.53679700546229,1.3131055950405017,0.11333333333333333,0.7066666666666667,0.17333333333333334,1.0,0.3
0.02,150,15.0,29.700692778139384,0.2192594467740707,0.28163452011555523,0.051297675136041644,0.13575823548843013,0.01678572813342673,121.38234616047919,129.65122031095572,1.5920154476010422,0.08666666666666667,0.72,0.17333333333333334,2.0,0.3
