combined_video,episode,full_J_K,full_discounted_task_return,full_final_distance,full_success,full_task_return,full_tracking_error,keep,pair,reduced_success,reduced_task_return,reset_seed,vx0,x0
C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\selected_combined_videos_lateral_trained_lateral_eval\lam200_wn1_zeta0p7_middle\pair_01_seed_546079183_combined.mp4,0,0.14576418140008474,27.334290784148603,0.010904758109020835,True,173.26156460859758,0.008733073979715317,True,1,True,177.50201189811344,546079183,-0.13607070249478603,-0.5333186347306663
C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\selected_combined_videos_lateral_trained_lateral_eval\lam200_wn1_zeta0p7_middle\pair_02_seed_2071536579_combined.mp4,1,0.20362211113594625,47.83057089586997,0.0029869700257686514,True,196.11357279166333,0.011706357304969385,True,2,True,194.02315610088414,2071536579,-0.515348666290141,0.3947530852652026
C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\selected_combined_videos_lateral_trained_lateral_eval\lam200_wn1_zeta0p7_middle\pair_03_seed_889918615_combined.mp4,2,0.21677102792800404,64.44181002279527,0.03687249030808142,True,205.41695988258365,0.01317794934558979,True,3,True,204.69314714930948,889918615,0.690477346879038,-0.7170692298581844
,3,0.11479183914235465,-73.53056809729296,1.774653617683646,False,-107.13794673739834,0.07356070803819686,False,,False,-108.12797227557749,1619619026,-0.6586917004692927,-0.7631590611232275
,4,0.1696948277705532,-23.40130141272692,1.3401126484274895,False,-84.87614793413842,0.03825229521697018,False,,False,91.97991460716592,63387097,0.708381498080396,0.3666372461026861
C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\selected_combined_videos_lateral_trained_lateral_eval\lam200_wn1_zeta0p7_middle\pair_04_seed_2034901272_combined.mp4,5,0.17415342668683365,22.04283144529676,0.10402354580986063,True,189.22758409036115,0.0076163382014649995,True,4,True,192.13241242840897,2034901272,-0.17188494248383657,-0.47552970147673346
,6,0.18452412244026337,46.83856499541762,0.10572033823972111,False,18.949981855488286,0.010746385682664786,False,,False,20.327462201099873,1268563135,-0.4194305060150246,0.4449759228034338
,7,0.14991707724527453,31.65893662339966,0.11260136314202547,False,2.1897123784096717,0.007730430703655489,False,,False,4.715177715898764,1470455870,0.3455284986467293,-0.7996128284508175
C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\selected_combined_videos_lateral_trained_lateral_eval\lam200_wn1_zeta0p7_middle\pair_05_seed_749144123_combined.mp4,8,0.1971407922107151,23.81943745422599,0.09672110771144353,True,234.22725108743813,0.03970447057789713,True,5,True,232.11781070633447,749144123,0.5738428143540453,0.05537163771455822
C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\selected_combined_videos_lateral_trained_lateral_eval\lam200_wn1_zeta0p7_middle\pair_06_seed_259121662_combined.mp4,9,0.18182773804567517,29.4924901596018,0.11488811810719425,True,189.98315252949163,0.008986693846580957,True,6,True,188.7201450960246,259121662,0.22501920575010126,0.019329511649540776
,10,0.15759067497692353,-17.814235869852784,1.2357270936618812,False,-75.57584146872206,0.02506869350264976,False,,False,86.06286987332857,2032575822,0.4427952667643078,0.4901131791699651
,11,0.19191982235281185,42.88786352391382,0.08321413952543243,False,26.773458337409295,0.010701524917657768,False,,False,27.16403527590435,1079359423,-0.5766336680947509,0.34638337374434025
C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\selected_combined_videos_lateral_trained_lateral_eval\lam200_wn1_zeta0p7_middle\pair_07_seed_955286945_combined.mp4,12,0.17549746375982989,39.169930452876216,0.02686079884585687,True,189.06817075012856,0.007069337956290431,True,7,True,161.97793297735038,955286945,0.10061410519069403,-0.7004768137919524
,13,0.14711153647147368,1.0607728236731042,0.15637033232506128,False,-8.584888667275656,0.009473874922821096,False,,False,-7.3457548271631365,656430837,-0.20851676079655623,-0.6994965282706309
C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\selected_combined_videos_lateral_trained_lateral_eval\lam200_wn1_zeta0p7_middle\pair_08_seed_1273641486_combined.mp4,14,0.17812338742788925,52.98491477162017,0.17702154349814847,True,228.41088833514752,0.0442505133901237,True,8,True,238.2989210881234,1273641486,-0.3813294365479804,0.7893161510197595
C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\selected_combined_videos_lateral_trained_lateral_eval\lam200_wn1_zeta0p7_middle\pair_09_seed_606974028_combined.mp4,15,0.15584805978769312,11.611825959553867,0.013976032031630298,True,137.91723183666036,0.007443753419304363,True,9,True,140.83847905686125,606974028,0.040494688354786534,-0.6280053677809759
,16,0.1766580810086017,16.09470099590001,0.4136420204177846,True,146.00587879995413,0.08942545905956654,False,,False,-37.55232180437304,778429293,0.009843970782365874,0.6222531995991933
,17,0.18470939669961203,8.620235122226944,0.053448811238111814,False,-8.311928388059517,0.008565246695660783,False,,True,150.59532981161027,581729028,-0.23404036650968674,-0.4129602799078724
,18,0.1537188330930651,-38.92401699123273,1.4288581141745982,False,-89.42145608708663,0.05801016599317614,False,,False,-50.56906464360655,448409376,0.6432616811790886,0.5528657161286901
C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\selected_combined_videos_lateral_trained_lateral_eval\lam200_wn1_zeta0p7_middle\pair_10_seed_1581668154_combined.mp4,19,0.16937320815410944,67.6707867894648,0.063157518805903,True,254.35380802723924,0.009643871348353563,True,10,True,246.61689598355426,1581668154,-0.075269681301387,0.46314997466630525
