episode,reset_seed,task_return,train_return,variation,length,success,crash,out_of_bounds,discounted_task_return,discounted_variation,discounted_train_return,min_distance_to_pad,mean_distance_to_pad,final_distance_to_pad,mean_speed,final_speed,min_abs_x,final_abs_x,final_y,near_pad_fraction_0p2,near_pad_fraction_0p1,final_m_power,mean_m_power,last50_mean_m_power,final_main_cmd,positive_main_fraction,final_theta_abs,mean_theta_abs,final_theta_variation,mean_theta_variation,final_both_legs_contact,both_legs_contact_fraction,ever_both_legs_contact,low_velocity_fraction,final_lander_awake,landing_candidate
0,464507548,135.42940697821328,97.57893558760676,1.4553647593737682,801,True,False,False,5.345881731114829,0.14959495613624524,1.102595389349657,0.009658848282080136,0.42325482211860405,0.010267872191880122,0.09679003664691475,0.0,3.0231476557673886e-05,0.01026773452758789,-5.316972601576708e-05,0.4282147315855181,0.27340823970037453,0.0,0.5475688750513209,0.26447619205340744,-0.06932840496301651,0.9575530586766542,0.0012143263606147303,0.013229863796513613,0.0,0.0018169347807412812,1.0,0.03495630461922597,1.0,0.29213483146067415,0.0,1.0
1,172674724,25.20452083833523,-31.204827473127377,2.4272898874308493,1000,False,False,False,66.40401552897659,0.20671239862362187,61.3034158921174,0.12347995050504876,0.31162915619703546,0.13389961142413626,0.0781633163686981,0.009476110200081166,0.12217607349157333,0.13389739394187927,-0.0007706069736741483,0.54,0.0,0.5407321639358997,0.5671182357706129,0.51024604331702,0.08146432787179947,0.992,0.01458789139280236,0.01002698543417674,0.00020284627031374493,0.002427289887430851,0.0,0.008,1.0,0.618,1.0,0.0
2,163903425,220.95719424213746,185.63479895468328,1.6294930191636101,544,True,False,False,27.061490457728766,0.2078234282180423,21.952583571726823,0.1309324323863495,0.5789754392499464,0.1309391137178573,0.19012895975663677,0.0,0.0020301819313317537,0.13087835907936096,0.003988311160355806,0.31433823529411764,0.0,0.0,0.47912231900152297,0.010015498581342399,-0.06949557363986969,0.8088235294117647,0.006116249179026767,0.034058857027413285,5.201486504534392e-09,0.002995391579344871,1.0,0.14338235294117646,1.0,0.19852941176470587,0.0,0.0
3,1019325551,-107.53469322891905,-111.41893928964934,0.1922830707153522,50,False,False,True,-70.4866943799362,0.18300409456782665,-74.0217436641785,1.5775919685733775,1.6958112517273114,1.7557620397811644,0.6942476814613262,0.5535878226902236,0.6701470017433167,1.0040291547775269,1.4403561353683472,0.0,0.0,0.5933196097612381,0.401862379591912,0.401862379591912,0.1866392195224762,0.72,0.11889074112737784,0.1252560539949387,0.0014012180463559842,0.0038456614143070433,0.0,0.0,0.0,0.0,1.0,0.0
4,1629015762,209.95949337221685,180.71455064767724,1.1149961816359788,626,True,False,False,36.48316191821206,0.19137151809047448,31.616293068695672,0.023956430842268957,0.5289070428374113,0.03070595272480027,0.1326567255224,0.0,6.332397606456652e-05,0.030692100524902344,0.0009222245425917208,0.2763578274760383,0.17412140575079874,0.0,0.5308325845605364,0.18208660908043384,-0.06946595013141632,0.9057507987220448,0.0008826279726168926,0.019830238916363364,2.6007432520503554e-09,0.0017811440601213711,1.0,0.05750798722044728,1.0,0.07667731629392971,0.0,1.0
5,1449951718,192.09622091781353,157.98201423752022,1.2542804453528902,765,True,False,False,47.50028109105478,0.15011253761845927,43.249509149938824,0.02637755875369618,0.46269428241044924,0.026405364157231152,0.13260444409016453,0.0,0.0263348575681448,0.02636270597577095,0.0015003299340605736,0.3607843137254902,0.15163398692810456,0.0,0.55933980611366,0.21238884061574936,-0.069680355489254,0.9581699346405229,0.0021070290436774027,0.011193951990199201,0.0,0.001639582281507046,1.0,0.043137254901960784,1.0,0.18169934640522875,0.0,1.0
6,1892108963,-65.59167905375361,-69.85530365167497,0.18024163986142389,78,False,False,True,-21.800461372470682,0.15723527460703843,-25.245770996088435,1.4007579947846234,1.4762633806971788,1.4007579947846234,0.35879222286098644,0.21562518056602073,0.7975116968154907,1.0008265972137451,0.9800352454185486,0.0,0.0,0.5720506608486176,0.617613345480118,0.5917728240787983,0.1441013216972351,1.0,0.0687787879094134,0.08294300895714428,0.001302181743318656,0.002310790254633641,0.0,0.0,0.0,0.0,1.0,0.0
7,1353470719,201.68460542736574,166.10114351612307,1.3615641274161774,758,True,False,False,48.86587543524232,0.21851049411602735,43.58920091935007,0.11559903178462345,0.44686182372123084,0.1156229456257063,0.14516076957916466,0.0,0.0002502441348042339,0.11562184989452362,0.0005033707711845636,0.4102902374670185,0.0,0.0,0.5596273332468104,0.3103445262461901,-0.06891007721424103,0.9643799472295514,0.005388845023216009,0.02977433963453277,5.201486504534392e-09,0.0017962587432931085,1.0,0.032981530343007916,1.0,0.32058047493403696,0.0,0.0
8,676069518,141.16790907724652,100.35575683891672,1.5408101492219868,885,True,False,False,25.498381055944385,0.15113701198084936,21.23160014554199,0.058448325027709136,0.37652489626395824,0.05897717667217572,0.09623772425035798,0.0,0.03693952411413193,0.05897674709558487,0.00022510052076540887,0.5186440677966102,0.44745762711864406,0.0,0.542563424304083,0.22866374767385422,-0.0692010149359703,0.9480225988700565,0.002394009033101428,0.013140154308726303,2.600743251833515e-09,0.001741028417199983,1.0,0.03502824858757062,1.0,0.4067796610169492,0.0,1.0
9,1315085260,3.353702372964415,-42.44923947684842,1.7201961233208591,1000,False,False,False,28.4938274945363,0.20964856084509673,23.34918542435463,0.03753512437741083,0.37646375615266253,0.03753512437741083,0.0980967994915627,0.039590577183831216,9.91821252682712e-06,0.02497415617108345,0.028021011501550674,0.526,0.403,0.5832655355334282,0.5714435646710917,0.572604612633586,0.16653107106685638,1.0,0.00465303786595794,0.01738688827692162,0.001825028014662936,0.0017201961233208605,0.0,0.0,0.0,0.364,1.0,0.0
