approx_kl,eval_crash_rate,eval_episodes,eval_landing_candidate_rate,eval_mean_both_legs_contact_fraction,eval_mean_discounted_task_return,eval_mean_discounted_train_return,eval_mean_discounted_variation,eval_mean_ever_both_legs_contact,eval_mean_final_abs_x,eval_mean_final_both_legs_contact,eval_mean_final_distance_to_pad,eval_mean_final_lander_awake,eval_mean_final_m_power,eval_mean_final_main_cmd,eval_mean_final_speed,eval_mean_final_theta_abs,eval_mean_final_theta_variation,eval_mean_final_y,eval_mean_last50_m_power,eval_mean_length,eval_mean_low_velocity_fraction,eval_mean_m_power,eval_mean_mean_distance_to_pad,eval_mean_min_abs_x,eval_mean_min_distance_to_pad,eval_mean_near_pad_fraction_0p1,eval_mean_near_pad_fraction_0p2,eval_mean_positive_main_fraction,eval_mean_speed,eval_mean_task_return,eval_mean_theta_abs,eval_mean_theta_variation_step,eval_mean_train_return,eval_mean_variation,eval_out_of_bounds_rate,eval_success_rate,global_step,mean_rollout_task_return,mean_rollout_train_return,mean_rollout_variation,rollout_success_rate,std_main,std_theta,update
0.004493584856390953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32768,52.074935724688004,34.05258278351232,12.77384310416479,0.0,0.05,0.035,1
0.007530623581260443,0.04,50,0.48,0.05779786904935902,19.851768246835253,18.065201330277144,0.1828755461708992,0.68,0.31604513701051473,0.6,0.4397630449430981,0.42,0.20287702426314355,0.006086325570940972,0.08931078307531051,0.02747530536209765,0.0004539878486764798,0.2700176252736128,0.3015439282182627,555.14,0.17775063616928424,0.5106002996436608,0.7397776608983887,0.21245301814751655,0.4174584733163967,0.10855847668140008,0.26422890059366577,0.8894641928354744,0.22578583807155783,105.32339998516181,0.040176068178528694,0.0023634009962127216,94.22059998516217,1.359193119396626,0.22,0.58,65536,60.036564187438834,41.676008631884116,12.430611435256784,0.0,0.04772727272727273,0.03318181818181819,2
0.007565210573375225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98304,59.575320066332374,42.20587562188805,11.152552471152651,0.0,0.045454545454545456,0.031363636363636364,3
0.0046456363052129745,0.06,50,0.48,0.04870461301803178,19.306465343562504,17.52203755291691,0.18176495546001456,0.7,0.3153726087734685,0.66,0.44004317528619835,0.38,0.1914028181368485,-0.0015853958670049907,0.08983148865277166,0.027274542098981263,0.000903695862242552,0.2706706392941851,0.30317435213973354,545.04,0.16116279788999152,0.5170417793533845,0.7525440690656996,0.21306719373272018,0.418131045063818,0.10243160363303712,0.25531388990990556,0.9006235687164188,0.2275681507543867,108.27428023234181,0.03970271084171187,0.0021876609381322847,97.37348023234208,1.2112395401495375,0.22,0.62,131072,69.79655371435243,52.37708003014251,10.56160149502115,0.10526315789473684,0.04318181818181818,0.02954545454545455,4
0.0045987749472260475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163840,56.95833918244958,40.242954567065304,9.493840017656105,0.15384615384615385,0.04090909090909091,0.02772727272727273,5
0.002076068427413702,0.06,50,0.5,0.05121727235647264,19.583245871327925,17.79086826108854,0.183737352802412,0.7,0.3044465427286923,0.6,0.4265724889349453,0.44,0.19137105647474528,0.0012587570399045945,0.08533234063028079,0.025921333640176025,0.001509272472132732,0.2554024342482626,0.3067354373110421,568.66,0.17530835634354208,0.5152768532237355,0.7403857909089426,0.2100037033922672,0.40249196722192254,0.10795775609751469,0.2600903779053808,0.8977129122555974,0.22238440427393688,102.54749177739491,0.03902394610058645,0.002252100716582052,91.1742917773952,1.3094502962279835,0.2,0.56,196608,102.59656287515786,85.22708919094777,9.245523142562812,0.2894736842105263,0.038636363636363635,0.02590909090909091,6
0.006534186191856861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229376,116.7026740665008,101.17600739983462,7.474103617074199,0.5238095238095238,0.03636363636363637,0.024090909090909093,7
0.0033585946075618267,0.04,50,0.48,0.0468770007467713,19.131651761870078,17.34421029954852,0.18581411139947743,0.66,0.30548321603797374,0.62,0.431021885985771,0.4,0.19318595472723246,0.00024203179869800807,0.08443512624473909,0.025030311894280347,0.0012033033118986009,0.2715360605708338,0.3049312233898834,563.92,0.16878069973063753,0.5183728964358846,0.7478615544406817,0.20793296236852257,0.4089699554776919,0.10640650861406278,0.2533823698608184,0.9025963585311793,0.22223191978857662,105.74982008744742,0.03954598466335467,0.002220159488513328,94.4714200874477,1.2569211145781436,0.22,0.6,262144,120.39004863793299,105.75360419348885,6.544391618516102,0.5555555555555556,0.03409090909090909,0.022272727272727274,8
0.009356802329421043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294912,122.67633059288433,109.34593059288471,5.655532430143112,0.58,0.031818181818181815,0.020454545454545454,9
0.010128050111234188,0.04,50,0.5,0.057891415244402555,19.667941243856667,17.873461507036584,0.18805459883175143,0.74,0.3032466185837984,0.68,0.4241243704052861,0.38,0.16919850290752947,-0.007264186348766089,0.07953403983842831,0.024735740757924417,0.0015665243173209364,0.25251864630734416,0.2795301752693063,571.32,0.1769121033897968,0.5114724347758015,0.7394369501991158,0.20915353889708058,0.40143391626891595,0.10180563463866829,0.24902106786938255,0.89088984692593,0.2194464454031527,112.73545280910777,0.03918427593434204,0.0022423635759771477,101.30905280910805,1.2808200087577193,0.2,0.62,327680,113.59589975394643,99.69756642061346,5.3687267164462975,0.5208333333333334,0.029545454545454545,0.018636363636363635,10
0.0023469922598451376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360448,90.57549691076441,78.20389691076475,4.508115038377265,0.48,0.027272727272727275,0.01681818181818182,11
0.010348139330744743,0.04,50,0.46,0.05657102636038276,19.577876381275374,17.782658907680243,0.19242634675038237,0.74,0.3027721316553652,0.66,0.4237426585520084,0.36,0.15812597632408143,-0.013769307509064674,0.08029241058339537,0.024725534746110993,0.0012193701250442722,0.25230937765223643,0.2711503120479335,572.8,0.17567830132256354,0.5115853091509158,0.7401639887073074,0.21003256579784646,0.40103286572064734,0.10057387211939144,0.24542570667789598,0.8913550165880503,0.21799669455130766,114.38540826610244,0.039291858051342186,0.0023702798180848168,102.92940826610271,1.3699337175013817,0.2,0.64,393216,103.80239081264618,89.46021689960308,4.8521319608070055,0.5217391304347826,0.025,0.015,12
