checkpoint,crash_rate,episodes,lambda_label,lambda_value,landing_candidate_rate,mean_both_legs_contact_fraction,mean_discounted_task_return,mean_discounted_train_return,mean_discounted_variation,mean_ever_both_legs_contact,mean_final_abs_x,mean_final_both_legs_contact,mean_final_distance_to_pad,mean_final_lander_awake,mean_final_m_power,mean_final_main_cmd,mean_final_speed,mean_final_theta_abs,mean_final_theta_variation,mean_final_y,mean_last50_m_power,mean_length,mean_low_velocity_fraction,mean_m_power,mean_mean_distance_to_pad,mean_min_abs_x,mean_min_distance_to_pad,mean_near_pad_fraction_0p1,mean_near_pad_fraction_0p2,mean_positive_main_fraction,mean_speed,mean_task_return,mean_theta_abs,mean_theta_variation_step,mean_train_return,mean_variation,out_of_bounds_rate,success_rate
C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\reduced_order_lander_lam0_from_base_12upd_lam0_20260529_155530\final_model.pt,0.05333333333333334,150,0,0.0,0.6133333333333333,0.05620196210353605,38.23260164793466,36.236910526652004,0.20615452488139954,0.8733333333333333,0.10790030852600467,0.8,0.11054538543312854,0.2866666666666667,0.1028928641974926,-0.029755567125199982,0.009837434526686008,0.009237591264024809,0.002041413723192015,0.0009374065467765529,0.25431995910344807,743.1733333333333,0.26034424426156977,0.5318200231979184,0.44840046461367156,0.006144323330479437,0.09559868105021417,0.16295935111147514,0.3766163928597641,0.9192408813694505,0.14041295881309887,143.21268101829187,0.02448612804634948,0.0022427155798099016,128.3492143516257,1.7493899037896943,0.006666666666666667,0.7133333333333334
C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\reduced_order_lander_lam3_from_base_12upd_lam3_20260529_162512\final_model.pt,0.1,150,3,3.0,0.5333333333333333,0.08168238088331932,38.73454320992941,36.14519891022967,0.1995549054340603,0.8866666666666667,0.16330647297552786,0.7866666666666666,0.16553975044444566,0.30666666666666664,0.08962812919936065,-0.04491248302801978,0.011358770337137074,0.013982199299075357,0.0018721569695529724,-0.009055736205298454,0.21848857480801717,664.6333333333333,0.2463660683064981,0.5095222901411455,0.49444488373552153,0.007081900909491499,0.14399231887670996,0.11838753561858768,0.294916451241875,0.8851146501564021,0.15305162059153346,150.33146664698563,0.026898837303184184,0.0023757922308856234,131.78012998018684,1.7528900000440428,0.0,0.6933333333333334
C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\reduced_order_lander_lam10_from_base_12upd_lam10_20260529_163532\final_model.pt,0.09333333333333334,150,10,10.0,0.54,0.07111143191354569,38.20535170418314,34.29392110012217,0.19199291504917695,0.8466666666666667,0.14928858241531998,0.72,0.15113816914142914,0.32,0.12412775460921693,-0.02799168646452017,0.010920429095284732,0.013177116514147956,0.0015484844169850887,-0.004969547375530965,0.23852049143663218,667.4466666666667,0.23769821986012754,0.5190695947578479,0.49562776378818324,0.007110478700256332,0.133836071811067,0.12126103098962232,0.3017307717237974,0.9011408290539913,0.15199103478723577,146.97679156644037,0.026329912810965528,0.002158885562763395,117.93640334165258,1.5691454891454475,0.0,0.68
C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\reduced_order_lander_lam15_from_base_12upd_lam15_20260529_171429\final_model.pt,0.1,150,15,15.0,0.5,0.07898973750938235,39.21246408014117,34.40460921287449,0.18790294623269477,0.8466666666666667,0.16022741871429996,0.7133333333333334,0.16209663223992138,0.3333333333333333,0.12386848981880272,-0.01601394797830532,0.011719646180094611,0.011979233982543969,0.0013957746159581196,-0.005899489062073068,0.25885382451550876,661.7666666666667,0.25312211585629063,0.5103743415780498,0.4922149465359278,0.007106460536734479,0.14431914975399732,0.10930673338006254,0.2906546775738352,0.8867803426986365,0.15303625980607408,146.58890421958878,0.026871954719173162,0.0022765651840328397,108.12672769771324,1.6817895459028163,0.006666666666666667,0.6666666666666666
C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\reduced_order_lander_lam20_from_base_12upd_lam20_20260529_172416\final_model.pt,0.06,150,20,20.0,0.58,0.07571368589048426,38.21056562758463,32.500064446670564,0.1858731166048221,0.8666666666666667,0.1310852399233651,0.8066666666666666,0.13255300178815635,0.2866666666666667,0.08804651331777374,-0.035103599873060984,0.006684506273615701,0.014075616850464889,0.0012575430905766413,-0.003351417033471383,0.23130747411455763,689.0666666666667,0.2520167848075224,0.5188673009210157,0.477600497251208,0.006817811941241416,0.11853815782481059,0.13631219725006757,0.3240398098160144,0.9002749194754514,0.1470295981155471,153.88817490430938,0.02640145108454046,0.0019236606216952415,112.13462422059614,1.398610867518996,0.0,0.7133333333333334
C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\reduced_order_lander_lam30_from_base_12upd_lam30_20260529_173836\final_model.pt,0.06,150,30,30.0,0.6066666666666667,0.06284777743693076,38.629800522488544,31.030656897922036,0.18689167973326148,0.88,0.13200127750261648,0.8,0.13341851148422965,0.24666666666666667,0.09627145704706587,-0.02445306415883048,0.006841849425315507,0.009649237584858548,0.0012847094518111904,-0.0033730114547658257,0.25186804904698706,676.9333333333333,0.24020626704451237,0.5276999129179816,0.4775455741256845,0.006470069867596445,0.1176485339208874,0.14188047522628902,0.32457069855572485,0.9140112684383147,0.14940887959014132,156.85166857983634,0.026388319932205976,0.0020123719637805543,99.53704435126176,1.4591985853969314,0.006666666666666667,0.7533333333333333
C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\reduced_order_lander_lam50_from_base_12upd_lam50_20260529_174804\final_model.pt,0.08666666666666667,150,50,50.0,0.5133333333333333,0.07074697037529576,38.330399059999735,27.509130003073636,0.1766067492528864,0.82,0.16631483967464494,0.7466666666666667,0.16831516658421766,0.32,0.13350338582570354,-0.0294066857934619,0.010242108784703535,0.010066686555150433,0.0017345704284979974,-0.009846999931396568,0.2548798698408238,658.92,0.2325480325983902,0.5169639589766287,0.5036312237688881,0.00708576007352652,0.14457933692170194,0.10530914629407527,0.2791286977933057,0.8993323523680407,0.15225008230168915,148.02273835092268,0.026543374968894612,0.0021414132763581855,57.230199299893876,1.5522827810205762,0.006666666666666667,0.68
C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\reduced_order_lander_lam100_from_base_12upd_lam100_20260529_180830\final_model.pt,0.013333333333333334,150,100,100.0,0.6466666666666666,0.05728181616793937,38.982252567483265,19.12043451546581,0.17868696466295694,0.8666666666666667,0.12065984009260622,0.8,0.12166110048696031,0.26666666666666666,0.1032273894470806,-0.02565610082509617,0.0057575888098538525,0.009639369935024978,0.0007501448120704756,-0.0020805674332071552,0.2690451737052781,695.2133333333334,0.26441338833394346,0.5291102204400687,0.4639817650467775,0.006952825540029911,0.10918169601859394,0.137923025472916,0.33881761265849275,0.9192986701260747,0.14422685674630745,158.3397670714513,0.026139929909184165,0.0017495226445770685,18.47370587605981,1.2596179452872482,0.0,0.7333333333333333
C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\reduced_order_lander_lam200_from_base_12upd_lam200_20260529_182950\final_model.pt,0.04,150,200,200.0,0.5933333333333334,0.06684470605187305,37.90051948207166,1.8769663005399801,0.17013458025365708,0.8066666666666666,0.10448330272609989,0.7266666666666667,0.10755408740950673,0.3933333333333333,0.15608283854710558,-0.0037910903928180537,0.01247809335438902,0.014281629013395743,0.000658366553311154,0.008346739759508637,0.2852085621873848,798.2666666666667,0.30849411138197425,0.5283335277651556,0.428238791172373,0.0054926356962156815,0.09679573775935787,0.18885370689164815,0.40804584667861904,0.9145127872647777,0.1318943295376233,124.88638898583527,0.02542981292031171,0.001513140265598689,-134.90647817983375,1.2191376691616782,0.0,0.6066666666666667
C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\reduced_order_lander_lam500_from_base_12upd_lam500_20260529_184342\final_model.pt,0.05333333333333334,150,500,500.0,0.6333333333333333,0.06520484318360029,38.469834343159405,-46.81712421367379,0.1665864217413551,0.88,0.1163199182623066,0.7933333333333333,0.11786406451407695,0.2866666666666667,0.11597232625354081,-0.020321060434604684,0.009001933006515464,0.012391900485013112,0.0009556143486146355,6.527066740318333e-05,0.26309186506749055,706.3066666666666,0.2645155901141872,0.5261944859077365,0.4615007489592271,0.006813860550766625,0.10710665260764694,0.151028479188267,0.3521422090560078,0.9105275654821605,0.1441944229725415,150.65361514013773,0.02633089244949523,0.0016465507500990288,-473.40971214981664,1.2198743879132423,0.0,0.7133333333333334
