zeta,wn,lambda,J_R,V_K,J_K,tracking_error
0.3,0.5,100.0,0.17868696466295694,35.21034734080432,0.17532309865898654,0.0559964873503784
0.3,1.0,100.0,0.17868696466295694,38.00093078518291,0.17712981605623998,0.031495370020906674
0.3,2.0,15.0,0.18790294623269477,39.726723536704974,0.21327366209480234,0.02932976194659652
0.3,4.0,15.0,0.18790294623269477,40.543603188525196,0.22964203660545923,0.02434406602791046
0.3,6.0,15.0,0.18790294623269477,40.741634316251,0.2454718341079456,0.02502571556686973
0.3,8.0,15.0,0.18790294623269477,40.883656628746415,0.2613864048083011,0.025195196884166684
0.3,10.0,15.0,0.18790294623269477,40.98763418623778,0.2712351858290924,0.025578922022936948
0.3,12.0,15.0,0.18790294623269477,41.132848024512626,0.27567592015429865,0.025959688717905938
0.7,0.5,100.0,0.17868696466295694,30.79402021253633,0.1659759245148662,0.05481450651255443
0.7,1.0,100.0,0.17868696466295694,35.03562664615982,0.19418845316629066,0.045515873019415135
0.7,2.0,15.0,0.18790294623269477,38.13680462968846,0.22378448409892304,0.03669909777427614
0.7,4.0,15.0,0.18790294623269477,39.77227355678972,0.24885816241647526,0.028877122225483706
0.7,6.0,15.0,0.18790294623269477,40.27948860762352,0.2633024914599213,0.025989967197926435
0.7,8.0,15.0,0.18790294623269477,40.44381185408026,0.2708592209104002,0.026254410557572314
0.7,10.0,15.0,0.18790294623269477,40.575235293980874,0.274271282773764,0.02512280180956745
0.7,12.0,15.0,0.18790294623269477,40.69228291560161,0.27614165434849147,0.02506235375954583
1.0,0.5,500.0,0.1665864217413551,28.693541273398168,0.16126670328594675,0.055635708451788266
1.0,1.0,100.0,0.17868696466295694,33.97189356456245,0.19712815987745266,0.04950720428121153
1.0,2.0,100.0,0.17868696466295694,37.323454404939184,0.21650374384825524,0.03457308947560132
1.0,4.0,15.0,0.18790294623269477,39.11467994076956,0.25817043323410543,0.03358518416349038
1.0,6.0,15.0,0.18790294623269477,39.79685225027632,0.2677550110396998,0.028425088501781836
1.0,8.0,15.0,0.18790294623269477,40.22974786781981,0.2730857138700592,0.027624532028757903
1.0,10.0,15.0,0.18790294623269477,40.37101080710523,0.2754982323915919,0.026429849437550536
1.0,12.0,15.0,0.18790294623269477,40.44379608725934,0.27686905754557445,0.02737692154669541
