checkpoint,controller,crash_rate,enable_wind,episodes,ever_both_legs_contact_rate,final_both_legs_contact_rate,gamma,gravity,lambda_label,lambda_value,landing_candidate_rate,log_path,mean_both_legs_contact_fraction,mean_common_task_return,mean_discounted_common_task_return,mean_discounted_theta_star_variation,mean_discounted_train_like_return,mean_final_abs_theta,mean_final_abs_theta_tracking_error,mean_final_distance_to_pad,mean_final_main_power,mean_final_speed,mean_length,mean_low_velocity_fraction,mean_max_abs_theta_tracking_error,mean_mean_abs_side_cmd,mean_mean_abs_theta,mean_mean_abs_theta_star,mean_mean_abs_theta_star_dot_hat,mean_mean_abs_theta_tracking_error,mean_mean_distance_to_pad,mean_mean_main_power,mean_mean_side_power,mean_mean_speed,mean_min_distance_to_pad,mean_official_return,mean_theta_star_variation,mean_train_like_return,official_success_rate,out_of_bounds_rate,reduced_success_rule_rate,scenario,seed_file,side_sign,sweep_wn,sweep_zeta,theta_limit_deg,truncated_rate,turbulence_power,variation_lambda,wind_power
C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\reduced_order_lander_lam0_from_base_12upd_lam0_20260529_155530\final_model.pt,pd,0.07333333333333333,False,150,0.92,0.6866666666666666,0.99,-10.0,0,0.0,0.6666666666666666,C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\official_reset_deployment_eval\full_150eps_all_lambda_all_gains\lambda_0\full_eval\logs\0_zeta0p3_wn0p5.log,0.08649586380363601,106.4483829565248,31.113104295508997,0.19561811906707136,29.135923689943283,0.11211809111307958,0.11906402868175708,0.3603735396827423,0.12493442916000883,0.08553124433604609,669.76,0.12544876538351712,0.26118087147237756,0.03400921575109851,0.0626058061945766,0.04905261412452973,0.03515606868997734,0.06662046201189793,0.5876264986384071,0.5167237291963798,0.03400921575109851,0.22429840158982997,0.21497395337739378,106.10448505398014,1.2522435290026237,93.05318295652485,0.7333333333333333,0.08,0.7333333333333333,nominal,C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\lambda_sweep_deployment_fixed_seeds_333.npy,-1,0.5,0.3,20.0,0.11333333333333333,1.5,0.0,15.0
C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\reduced_order_lander_lam0_from_base_12upd_lam0_20260529_155530\final_model.pt,pd,0.03333333333333333,False,150,0.92,0.74,0.99,-10.0,0,0.0,0.7333333333333333,C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\official_reset_deployment_eval\full_150eps_all_lambda_all_gains\lambda_0\full_eval\logs\0_zeta0p3_wn1.log,0.07845088830071503,126.13535989283649,36.82850606841774,0.20239345428617658,34.83585651681994,0.04933829433231343,0.05687827102021845,0.2368999990035032,0.12311637793978056,0.06035248221521807,700.62,0.18873027986885305,0.18493735275317433,0.07391649588143542,0.04230783258020718,0.033847130769205966,0.029895338289288878,0.02952229368794767,0.5059582929657988,0.5252152712742714,0.07391649588143542,0.17520656933034348,0.13274524059447543,124.92880212076491,1.3260525776834267,112.12295989283662,0.7466666666666667,0.08,0.7466666666666667,nominal,C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\lambda_sweep_deployment_fixed_seeds_333.npy,-1,1.0,0.3,20.0,0.14,1.5,0.0,15.0
C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\reduced_order_lander_lam0_from_base_12upd_lam0_20260529_155530\final_model.pt,pd,0.006666666666666667,False,150,0.9466666666666667,0.8266666666666667,0.99,-10.0,0,0.0,0.7866666666666666,C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\official_reset_deployment_eval\full_150eps_all_lambda_all_gains\lambda_0\full_eval\logs\0_zeta0p3_wn2.log,0.0793563291572455,150.03023139047275,38.66204284759753,0.23342567396282612,36.667530896511316,0.045923565744305964,0.05057721635679361,0.18486297922670053,0.07855190207405637,0.03209891567324301,706.1266666666667,0.19417140670834074,0.17062603549388994,0.3849306658108918,0.037608888206780086,0.030275937702432365,0.030686480150997408,0.02017209775265455,0.48409577382564617,0.5254485137784469,0.3849306658108918,0.16158392320075837,0.11202176025605994,142.209679693918,1.5808188372768783,135.90769805713953,0.8133333333333334,0.02666666666666667,0.8133333333333334,nominal,C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\lambda_sweep_deployment_fixed_seeds_333.npy,-1,2.0,0.3,20.0,0.15333333333333332,1.5,0.0,15.0
C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\reduced_order_lander_lam0_from_base_12upd_lam0_20260529_155530\final_model.pt,pd,0.013333333333333334,False,150,0.9466666666666667,0.82,0.99,-10.0,0,0.0,0.8,C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\official_reset_deployment_eval\full_150eps_all_lambda_all_gains\lambda_0\full_eval\logs\0_zeta0p3_wn4.log,0.07395464845867411,152.8860732933482,39.37719369325782,0.2504560582076217,37.38248616283408,0.03527791598658344,0.039521976461706194,0.1647027234692066,0.0750667426546958,0.020410104691603013,716.54,0.20328317510898103,0.1612464977016307,0.5374888655436966,0.03512895996011561,0.02888963630675312,0.030989544870169396,0.016718917507071128,0.47034096187741226,0.5270616706645057,0.5374888655436966,0.15558148118983822,0.10132440158656726,141.6706791651768,1.7200626806289594,138.55527329334834,0.8133333333333334,0.013333333333333334,0.8133333333333334,nominal,C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\lambda_sweep_deployment_fixed_seeds_333.npy,-1,4.0,0.3,20.0,0.16,1.5,0.0,15.0
C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\reduced_order_lander_lam0_from_base_12upd_lam0_20260529_155530\final_model.pt,pd,0.013333333333333334,False,150,0.9466666666666667,0.86,0.99,-10.0,0,0.0,0.8333333333333334,C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\official_reset_deployment_eval\full_150eps_all_lambda_all_gains\lambda_0\full_eval\logs\0_zeta0p3_wn6.log,0.07487760412146298,156.2689362481566,39.55845270130319,0.2661419412344442,37.5639303159768,0.03528829645275133,0.03873257654123397,0.16038520424872157,0.06708172467847665,0.01929298971012369,706.7933333333333,0.2021030881903949,0.15770774757229405,0.6466182080266789,0.034560922828570165,0.02868083284835536,0.03193576367373915,0.016101821848526897,0.4718239681437784,0.5290870642373392,0.6466182080266789,0.15557289964830873,0.10156298174468885,142.873798297506,1.8364118189314926,142.1330695814901,0.8266666666666667,0.013333333333333334,0.8266666666666667,nominal,C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\lambda_sweep_deployment_fixed_seeds_333.npy,-1,6.0,0.3,20.0,0.14666666666666667,1.5,0.0,15.0
C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\reduced_order_lander_lam0_from_base_12upd_lam0_20260529_155530\final_model.pt,pd,0.04,False,150,0.9333333333333333,0.8266666666666667,0.99,-10.0,0,0.0,0.7933333333333333,C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\official_reset_deployment_eval\full_150eps_all_lambda_all_gains\lambda_0\full_eval\logs\0_zeta0p3_wn8.log,0.07508883841737167,144.3832926754958,39.656689417730476,0.28182989954131477,37.662181734431975,0.03523707346383011,0.0415184068854391,0.1656658915816992,0.09300253234085783,0.02656524448230069,720.3866666666667,0.20359251220756774,0.1629566443018069,0.7437423252752738,0.03541762673835825,0.028405522588979402,0.033754178471055794,0.01801444523856004,0.4661021644105485,0.5289789287719955,0.7437423252752738,0.1542606585585118,0.09833810115171936,128.67902861686503,2.0141213187402256,129.9755593421626,0.78,0.02,0.78,nominal,C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\lambda_sweep_deployment_fixed_seeds_333.npy,-1,8.0,0.3,20.0,0.16,1.5,0.0,15.0
C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\reduced_order_lander_lam0_from_base_12upd_lam0_20260529_155530\final_model.pt,pd,0.02,False,150,0.94,0.88,0.99,-10.0,0,0.0,0.8466666666666667,C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\official_reset_deployment_eval\full_150eps_all_lambda_all_gains\lambda_0\full_eval\logs\0_zeta0p3_wn10.log,0.0728787686082875,158.82935956160776,39.77349589538728,0.2904946008942622,37.77911215361005,0.02814077188337251,0.03208441082005339,0.15316673497044367,0.0699338065367192,0.01288563523342577,708.9666666666667,0.20399991553684602,0.14784588946164817,0.7992623956254102,0.03488783832801088,0.028173928469085053,0.03479601942587183,0.017642506557167887,0.4670829585244762,0.5298749472427953,0.7992623956254102,0.1535758450416949,0.09825266588712872,142.16159747487367,2.066870738737853,144.6500262282746,0.84,0.013333333333333334,0.84,nominal,C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\lambda_sweep_deployment_fixed_seeds_333.npy,-1,10.0,0.3,20.0,0.12666666666666668,1.5,0.0,15.0
C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\reduced_order_lander_lam0_from_base_12upd_lam0_20260529_155530\final_model.pt,pd,0.02,False,150,0.9333333333333333,0.8533333333333334,0.99,-10.0,0,0.0,0.8066666666666666,C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\official_reset_deployment_eval\full_150eps_all_lambda_all_gains\lambda_0\full_eval\logs\0_zeta0p3_wn12.log,0.07477998472667097,153.43100289800824,39.85765142818009,0.29526822738676195,37.86323776492017,0.03741260920220157,0.04145240346626895,0.15958707118936669,0.06994520866700138,0.02081791293833349,711.92,0.20377235069841462,0.15914671592373614,0.8264800387006512,0.03591630140336272,0.028348767175743285,0.035280029721708836,0.01924883562636637,0.4666415514828651,0.5287328014483378,0.8264800387006512,0.15307755995499736,0.09867725890256232,136.13748291853975,2.0992664383437725,139.1926028980084,0.8133333333333334,0.013333333333333334,0.8133333333333334,nominal,C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\lambda_sweep_deployment_fixed_seeds_333.npy,-1,12.0,0.3,20.0,0.15333333333333332,1.5,0.0,15.0
C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\reduced_order_lander_lam0_from_base_12upd_lam0_20260529_155530\final_model.pt,pd,0.08,False,150,0.7333333333333333,0.56,0.99,-10.0,0,0.0,0.5266666666666666,C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\official_reset_deployment_eval\full_150eps_all_lambda_all_gains\lambda_0\full_eval\logs\0_zeta0p7_wn0p5.log,0.06596947641283464,58.04301233781475,28.17291899086477,0.19089964415172483,26.227993283932914,0.09674407670051248,0.10737572224518914,0.5004737688078038,0.21597969295612227,0.15857013807582362,596.5333333333333,0.11720447635615912,0.22410172898080333,0.08168046891646458,0.04707558758817695,0.056798026907340274,0.028740458358408758,0.05331484542446392,0.6827688659033225,0.5286838435181439,0.08168046891646458,0.2538702840402088,0.37776675855998726,56.90699317964866,1.0910742827260236,46.112345671148084,0.56,0.25333333333333335,0.56,nominal,C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\lambda_sweep_deployment_fixed_seeds_333.npy,-1,0.5,0.7,20.0,0.10666666666666667,1.5,0.0,15.0
C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\reduced_order_lander_lam0_from_base_12upd_lam0_20260529_155530\final_model.pt,pd,0.06,False,150,0.8933333333333333,0.6733333333333333,0.99,-10.0,0,0.0,0.6533333333333333,C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\official_reset_deployment_eval\full_150eps_all_lambda_all_gains\lambda_0\full_eval\logs\0_zeta0p7_wn1.log,0.07971092947211332,105.45245497766031,33.262849075669955,0.22337828163713377,31.282551997278862,0.07979742495291854,0.09189081223249905,0.32595648502869096,0.1443246594319741,0.0951585410451678,679.5466666666666,0.15900399619023853,0.2169253078885884,0.3944246130412023,0.04805914174803113,0.041975977167594936,0.03215623320959605,0.03998940333365489,0.5710168776459322,0.5200000857389061,0.3944246130412023,0.20368340422275286,0.20791627372701665,97.78954088340369,1.5027567311409675,91.86152164432706,0.7066666666666667,0.10666666666666667,0.7066666666666667,nominal,C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\lambda_sweep_deployment_fixed_seeds_333.npy,-1,1.0,0.7,20.0,0.12666666666666668,1.5,0.0,15.0
