common_success_mean,common_success_std,crash_mean,crash_std,on_pad_mean,on_pad_std,both_legs_mean,both_legs_std,low_velocity_mean,low_velocity_std,low_omega_mean,low_omega_std,final_x_abs_mean,final_x_abs_std,touchdown_speed_mean,touchdown_speed_std,episode_length_mean,episode_length_std,return_sum_mean,return_sum_std,regime,source,num_episodes
0.15822784810126583,0.3649545124895821,0.25316455696202533,0.43482440600804223,0.6139240506329114,0.4868483446489161,0.4810126582278481,0.49963935078457095,1.0,0.0,0.7848101265822784,0.41095400204425137,0.2037560874566766,0.13583811705118662,0.037832213597133076,0.07214441818407302,695.2658227848101,191.1491040291805,119.67762824110538,109.78967706752445,biased,full_eval_adaptive_bias_common,158
0.1518987341772152,0.3589227057913374,0.2468354430379747,0.4311701602595215,0.6012658227848101,0.4896378591732011,0.46835443037974683,0.498997553023469,1.0,0.0,0.8037974683544303,0.39712353017850616,0.20307912889726554,0.12917640674592662,0.03553234596966185,0.0660697657527639,701.2341772151899,192.86570285628048,118.48140013883952,107.46630034962865,biased,full_eval_adaptive_gain_common,158
0.16455696202531644,0.37078021559181795,0.3037974683544304,0.4598962563186063,0.5949367088607594,0.4909042893586156,0.4873417721518987,0.4998397435856272,0.9936708860759493,0.07930357016545357,0.7468354430379747,0.43482440600804223,0.24028258511348616,0.18310444639310497,0.04834784980848438,0.08645452847374001,699.8037974683544,206.8297917863608,97.12465228133411,117.7974410859629,biased,full_eval_pd_common,158
0.31645569620253167,0.46509298913604646,0.0189873417721519,0.1364801180559989,0.5126582278481012,0.4998397435856272,0.7151898734177216,0.451323961671065,1.0,0.0,0.9936708860759493,0.07930357016545357,0.2009149622304742,0.12247534883471535,0.0017264511025709423,0.016148921603035975,357.22151898734177,92.05616223419057,240.74646376644614,43.36445153540519,biased,original_eval_common,158
1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.10061748068090054,0.06356204113544664,0.0,0.0,666.8037974683544,160.62332928198776,225.89849779890247,29.728451462792133,biased,reduced_eval_common,158
0.11392405063291139,0.31771899741800347,0.11392405063291139,0.3177189974180034,0.5886075949367089,0.4920860637322826,0.3670886075949367,0.48201095606733596,1.0,0.0,0.9240506329113924,0.2649170827399538,0.193547983807099,0.09731428424679836,0.017135913147144292,0.04649628284160609,748.1962025316456,195.43170191184825,132.54972914380218,78.10539433139476,delay1,full_eval_adaptive_bias_common,158
0.12025316455696203,0.32525734576024296,0.0949367088607595,0.2931274981496053,0.6392405063291139,0.4802208673071298,0.3670886075949367,0.48201095606733596,1.0,0.0,0.930379746835443,0.25450594003649496,0.18918144214261748,0.100222161862147,0.015463562718826632,0.041741177934787356,756.5506329113924,190.87229966152879,136.90115638716057,77.86922172305238,delay1,full_eval_adaptive_gain_common,158
0.12025316455696203,0.32525734576024296,0.13924050632911392,0.34619732483993276,0.5949367088607594,0.4909042893586156,0.4240506329113924,0.49419803079215113,1.0,0.0,0.8987341772151899,0.3016803870332401,0.19993338004179015,0.11810012194589595,0.0234187958028856,0.053970244196223614,753.1962025316456,208.08495279696692,118.6136838242213,82.47242783343228,delay1,full_eval_pd_common,158
0.4620253164556962,0.49855583780526525,0.006329113924050633,0.07930357016545359,0.6518987341772152,0.47636831816920794,0.7341772151898734,0.4417703383953202,1.0,0.0,1.0,0.0,0.16495666357606079,0.07688209002876488,0.00017506775100860258,0.002045693103590554,397.2974683544304,139.81848583407182,247.27324943090198,27.613739319111538,delay1,original_eval_common,158
1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.10061748068090054,0.06356204113544664,0.0,0.0,666.8037974683544,160.62332928198776,225.89849779890247,29.728451462792133,delay1,reduced_eval_common,158
0.04430379746835443,0.20576921781023866,0.25949367088607594,0.4383568245803239,0.26582278481012656,0.44177033839532015,0.41139240506329117,0.4920860637322827,0.7531645569620253,0.43117016025952143,0.7531645569620253,0.4311701602595215,0.5080819070292047,0.3531300780369582,0.2162635830998766,0.2806549290313491,526.3037974683544,244.49443339320177,21.029123385112616,157.16242330230833,hard,full_eval_adaptive_bias_common,158
0.05063291139240506,0.21924693766694653,0.23417721518987342,0.42348346729924313,0.25316455696202533,0.43482440600804223,0.43037974683544306,0.4951292965976695,0.7278481012658228,0.44506768333542185,0.7911392405063291,0.40649470185649145,0.5118113975394282,0.3492132432407029,0.2159405972849495,0.28403952692418644,529.4620253164557,249.29644384217315,25.316586912912918,155.1210730176883,hard,full_eval_adaptive_gain_common,158
0.03164556962025317,0.17505464159416873,0.25316455696202533,0.43482440600804223,0.25316455696202533,0.43482440600804223,0.41139240506329117,0.4920860637322827,0.7341772151898734,0.44177033839532015,0.7721518987341772,0.41944408926027565,0.5304454555499214,0.35830223401112876,0.2336871525691114,0.2949243657618683,506.95569620253167,239.5022619521818,13.22850470978178,158.5556736165503,hard,full_eval_pd_common,158
