episode,reset_seed,task_return,train_return,variation,length,success,crash,out_of_bounds,discounted_task_return,discounted_variation,discounted_train_return,min_distance_to_pad,mean_distance_to_pad,final_distance_to_pad,mean_speed,final_speed,min_abs_x,final_abs_x,final_y,near_pad_fraction_0p2,near_pad_fraction_0p1,final_m_power,mean_m_power,last50_mean_m_power,final_main_cmd,positive_main_fraction,final_theta_abs,mean_theta_abs,final_theta_variation,mean_theta_variation,final_both_legs_contact,both_legs_contact_fraction,ever_both_legs_contact,low_velocity_fraction,final_lander_awake,landing_candidate
0,1511897467,71.57461509192356,-608.6923637922819,1.3205339577684108,1000,False,False,False,32.06080226578793,0.16975792584791882,-54.81807431567679,0.05229050084895425,0.4469363915662678,0.05229050084895425,0.16722049091725,0.016759756198240792,1.430511474609375e-05,0.05228891223669052,0.0004075980104971677,0.471,0.313,0.0,0.5524627825589851,0.515457711815834,-0.06435643136501312,0.966,0.00880370316163741,0.031752527130398375,0.000885904827841226,0.0013205339577684115,1.0,0.01,1.0,0.189,1.0,1.0
1,1156069968,197.53401232827463,-305.8842956979579,0.9796366160524653,680,True,False,False,69.17110667849035,0.18120433102829922,-23.42890624068482,0.07019075795232585,0.32627581051025023,0.07019189830496425,0.10910969055848337,0.0,0.005137252621352673,0.0701836571097374,0.0010755753610283136,0.538235294117647,0.1411764705882353,0.0,0.5681192944511114,0.3143128176778555,-0.049694888293743134,0.9647058823529412,0.013112191960823097,0.018743601630650062,0.0,0.0014406420824300966,1.0,0.03676470588235294,1.0,0.4176470588235294,0.0,1.0
2,747316575,160.78847626093767,-312.15453600415555,0.9179660245301853,698,True,False,False,24.053791460638305,0.1281513948355697,-42.0201095870176,0.05747796866934084,0.3961238224651017,0.057478350242983846,0.11277099624561383,0.0,0.0024792670737951994,0.057462118566036224,0.001365897711366415,0.39255014326647564,0.2335243553008596,0.0,0.5455004051567874,0.2993399232625961,-0.050082918256521225,0.9441260744985673,0.012257371866515954,0.018061827601788278,0.0,0.0013151375709601514,1.0,0.03581661891117478,1.0,0.25787965616045844,0.0,1.0
3,329122178,186.78835333728347,-372.648118442211,1.08683294355899,801,True,False,False,36.94540114682737,0.18513650667271675,-57.622214189252375,0.038118957894052445,0.397768310823968,0.04140770312080207,0.16002838124060187,0.0,0.011553764343261719,0.04139280319213867,0.0011107302270829678,0.5006242197253433,0.4419475655430712,0.0,0.5404486305397336,0.2843920849263668,-0.05042712017893791,0.951310861423221,0.011201342669772218,0.03663290419079249,0.0,0.0013568451230449297,1.0,0.033707865168539325,1.0,0.299625468164794,0.0,1.0
4,646131025,198.1563877221197,-399.56631443175525,1.1621254043077518,833,True,False,False,56.90359502554316,0.20200780510606967,-46.099844989835276,0.01792157457409391,0.3538126858153618,0.017927315657053508,0.15031548115722668,0.0,0.014252757653594017,0.017885494977235794,0.0012238121125847101,0.48619447779111646,0.30612244897959184,0.0,0.556944684871212,0.31345305517315863,-0.051780082285404205,0.9711884753901561,0.007313031250756206,0.029962150552496365,2.6007432527008767e-09,0.0013951085285807338,1.0,0.030012004801920768,1.0,0.28331332533013204,0.0,1.0
5,386281797,39.12850178331116,-854.2393554160964,1.7467357143988145,1000,False,False,False,27.783912901806055,0.1530973861651178,-50.764693838258246,0.26784842419331617,0.6300348162592547,0.26862791236437783,0.1694076848609375,0.021964549624599403,0.015694808214902878,0.2683102488517761,0.013060078956186771,0.0,0.0,0.5573275834321976,0.5419406195133925,0.5468061963841319,0.11465516686439514,0.976,0.02244623478529969,0.028392717707376933,0.0016511858832816487,0.0017467357143988167,0.0,0.0,0.0,0.401,1.0,0.0
6,469159189,215.62781005613508,-220.6422569799127,0.8491401340720953,585,True,False,False,49.02745088787854,0.1989592843306083,-52.446598612047985,0.04562895038810037,0.40920914159714333,0.04565622244988723,0.15218544745512055,0.0,0.009241866879165173,0.04564867168664932,0.0008303141803480685,0.37606837606837606,0.1794871794871795,0.0,0.5475007812118429,0.15358349218964576,-0.052216269075870514,0.9367521367521368,0.005546195516543265,0.0284266923028556,1.3003716260034937e-08,0.0014515215967044366,1.0,0.06495726495726496,1.0,0.14017094017094017,0.0,1.0
7,1241291005,8.888882407173647,-1319.4379917913377,2.6166537483970185,1000,False,False,False,25.709115991567987,0.17375914121349514,-63.17036827268469,0.3897904250885121,0.6281509953637406,0.3897904250885121,0.13514606205320556,0.049129873887219566,0.012916183099150658,0.3891697824001312,-0.021987631916999817,0.0,0.0,0.5384099036455154,0.5400248948447406,0.522343885526061,0.07681980729103088,0.974,0.0175919800146754,0.03535470358176415,0.00411544342981722,0.0026166537483970193,0.0,0.023,1.0,0.474,1.0,0.0
8,825866776,-20.33724491502508,-220.84555702242207,0.38481662421479434,405,False,True,False,24.142847529732133,0.15970503370896444,-57.675527729640564,0.7534655359034684,0.9662271800151545,0.7614255084799412,0.26295032635743704,0.04626846926621861,0.014034176245331764,0.7478440999984741,0.1431712508201599,0.0,0.0,0.5066501768305898,0.506251812285462,0.3726957462512655,0.013300353661179543,0.8814814814814815,0.02918651605300585,0.06609387266480378,0.0004271434709702364,0.000950164504234059,0.0,0.0,0.0,0.2271604938271605,1.0,0.0
9,401355324,38.74738401335784,-707.7879700972109,1.4530707082211383,1000,False,False,False,26.381029850799276,0.1581371902387306,-54.68747892607128,0.18679120413985315,0.5650810380452438,0.18689640465158006,0.15981740026467747,0.011427014123682378,0.013640212826430798,0.18688516318798065,-0.002049841918051243,0.052,0.0,0.546821340918541,0.5538686468150117,0.5543873327225447,0.09364268183708191,0.984,0.0008481500818711775,0.029116080278488988,0.001757462736805849,0.0014530707082211372,0.0,0.0,0.0,0.232,1.0,0.0
