combined_video,episode,full_J_K,full_discounted_task_return,full_final_distance,full_success,full_task_return,full_tracking_error,keep,pair,reduced_success,reduced_task_return,reset_seed,vx0,x0
,0,0.12386832036014642,26.547813934184322,0.10029867055515049,False,8.930655368026388,0.029151957865202128,False,,True,177.50201189811344,546079183,-0.13607070249478603,-0.5333186347306663
C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\selected_combined_videos_lateral_trained_lateral_eval\lam200_wn0p5_zeta1p0_low_return\pair_01_seed_2071536579_combined.mp4,1,0.1747132950179887,45.20388254193767,0.09279851955004123,True,187.7481019175946,0.02359417493189699,True,1,True,194.02315610088414,2071536579,-0.515348666290141,0.3947530852652026
C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\selected_combined_videos_lateral_trained_lateral_eval\lam200_wn0p5_zeta1p0_low_return\pair_02_seed_889918615_combined.mp4,2,0.19442671372384862,58.76292670474681,0.2355331902801319,True,193.0859281516693,0.040233489032936026,True,2,True,204.69314714930948,889918615,0.690477346879038,-0.7170692298581844
,3,0.11292051300898422,-73.11570403739677,1.774835660743218,False,-105.71719831334471,0.08822974539747518,False,,False,-108.12797227557749,1619619026,-0.6586917004692927,-0.7631590611232275
,4,0.16261378188232792,-29.605667509344443,1.3606969969879315,False,-91.56608505256946,0.05937463752851559,False,,False,91.97991460716592,63387097,0.708381498080396,0.3666372461026861
,5,0.1575735854232437,21.71989732292166,0.7104164471568625,False,-113.03393292361163,0.12110913573868264,False,,True,192.13241242840897,2034901272,-0.17188494248383657,-0.47552970147673346
,6,0.15921605438779482,44.554589134561596,0.05605717726370437,False,24.221170504209727,0.024962834881517657,False,,False,20.327462201099873,1268563135,-0.4194305060150246,0.4449759228034338
,7,0.1371073009690485,31.095487906391117,0.1744419318341443,False,-4.0614345974483586,0.012349058565491572,False,,False,4.715177715898764,1470455870,0.3455284986467293,-0.7996128284508175
C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\selected_combined_videos_lateral_trained_lateral_eval\lam200_wn0p5_zeta1p0_low_return\pair_03_seed_749144123_combined.mp4,8,0.18997622763898453,24.17612963927315,0.08750838009007002,True,236.9806200530187,0.034988705780514356,True,3,True,232.11781070633447,749144123,0.5738428143540453,0.05537163771455822
C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\selected_combined_videos_lateral_trained_lateral_eval\lam200_wn0p5_zeta1p0_low_return\pair_04_seed_259121662_combined.mp4,9,0.15750253121795973,27.994412733751805,0.15599942555627197,True,180.09858214805604,0.018632167924936913,True,4,True,188.7201450960246,259121662,0.22501920575010126,0.019329511649540776
,10,0.14502284906687743,-25.092003930704998,1.2631311394087459,False,-85.88251774415251,0.04118721827039078,False,,False,86.06286987332857,2032575822,0.4427952667643078,0.4901131791699651
,11,0.17041364016568405,38.20623300479578,0.6589524008956131,False,-75.30876039597894,0.06702381155628397,False,,False,27.16403527590435,1079359423,-0.5766336680947509,0.34638337374434025
C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\selected_combined_videos_lateral_trained_lateral_eval\lam200_wn0p5_zeta1p0_low_return\pair_05_seed_955286945_combined.mp4,12,0.1788084353588563,38.79650158730112,0.028454379041204608,True,190.10349361936056,0.00945656810122206,True,5,True,161.97793297735038,955286945,0.10061410519069403,-0.7004768137919524
,13,0.11563988945455582,-24.35927599135435,1.4496091810456317,False,-112.22321556141199,0.05997677203580259,False,,False,-7.3457548271631365,656430837,-0.20851676079655623,-0.6994965282706309
C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\selected_combined_videos_lateral_trained_lateral_eval\lam200_wn0p5_zeta1p0_low_return\pair_06_seed_1273641486_combined.mp4,14,0.15860179942402666,54.742894665563,0.0716169646264866,True,250.97492734172567,0.0428359554420895,True,6,True,238.2989210881234,1273641486,-0.3813294365479804,0.7893161510197595
C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\selected_combined_videos_lateral_trained_lateral_eval\lam200_wn0p5_zeta1p0_low_return\pair_07_seed_606974028_combined.mp4,15,0.13679035754065205,11.152399050486554,0.0820067894242536,True,132.64426904725545,0.014762606919656616,True,7,True,140.83847905686125,606974028,0.040494688354786534,-0.6280053677809759
,16,0.16341740621663417,16.25573864640486,0.518143401265036,True,130.26243265798448,0.08223885770054375,False,,False,-37.55232180437304,778429293,0.009843970782365874,0.6222531995991933
C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\selected_combined_videos_lateral_trained_lateral_eval\lam200_wn0p5_zeta1p0_low_return\pair_08_seed_581729028_combined.mp4,17,0.16175703639185243,6.460318950355008,0.15580316108745612,True,140.55898717174077,0.01942133084031081,True,8,True,150.59532981161027,581729028,-0.23404036650968674,-0.4129602799078724
,18,0.1499906541350372,-42.48420110097883,1.4421322213285297,False,-92.55934928192758,0.07883786041811516,False,,False,-50.56906464360655,448409376,0.6432616811790886,0.5528657161286901
C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\selected_combined_videos_lateral_trained_lateral_eval\lam200_wn0p5_zeta1p0_low_return\pair_09_seed_1581668154_combined.mp4,19,0.15626223964877406,68.45251370096226,0.018856062033146406,True,260.92661519203114,0.016820082629368446,True,9,True,246.61689598355426,1581668154,-0.075269681301387,0.46314997466630525
,20,0.15058934891314338,-2.428243037547018,1.1703793350246021,False,-76.20955585049452,0.014043257194682126,False,,False,59.10126281858836,1921907337,0.46515109029074386,0.4011681929285351
,21,0.16848633977019437,39.774748308652335,1.035315558276164,False,-207.77992793271412,0.09678499157214646,False,,True,226.68485614536334,764190160,-0.639616871268278,0.39492165814922764
,22,0.1896753375651835,48.28042493609678,0.06852843433216442,False,37.9586561761119,0.009057388075450241,False,,False,42.37750054840007,1578533367,0.6359402033460542,-0.6869348514866593
C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\selected_combined_videos_lateral_trained_lateral_eval\lam200_wn0p5_zeta1p0_low_return\pair_10_seed_1437424431_combined.mp4,23,0.1767468371802373,23.944425457908633,0.6471538190962316,True,154.8759153075787,0.07071189059372618,True,10,True,197.98515653554367,1437424431,-0.5728258912386898,-0.009264617222954463
