zeta,wn,lambda,J_R,V_K,J_K,tracking_error
0.3,0.5,200.0,0.16566413347548667,8.53927992230839,0.2043572021544236,0.08815459344548546
0.3,1.0,30.0,0.1847781851205453,12.45335069939827,0.22059956375485015,0.05002533563779701
0.3,2.0,30.0,0.1847781851205453,14.142565195691398,0.22892960435087104,0.034759459904330776
0.3,4.0,30.0,0.1847781851205453,15.647681940703436,0.24014386240195837,0.030876541984829753
0.3,6.0,30.0,0.1847781851205453,15.97912030569051,0.24866610213647378,0.031680623468950016
0.3,8.0,30.0,0.1847781851205453,16.728949660168087,0.2596614086756649,0.030116460456398583
0.3,10.0,30.0,0.1847781851205453,16.504885978782394,0.26510473558226694,0.03370002258740489
0.3,12.0,30.0,0.1847781851205453,16.712920008454553,0.2676579780599397,0.03066561490037067
0.7,0.5,200.0,0.16566413347548667,7.82904156210279,0.20002327137524284,0.06812654211288235
0.7,1.0,200.0,0.16566413347548667,9.999273079286407,0.2067888317995866,0.05227658782072235
0.7,2.0,30.0,0.1847781851205453,12.357057057132037,0.23418509034152174,0.047942194739299934
0.7,4.0,30.0,0.1847781851205453,13.739771580205197,0.24790427008941843,0.03666094881579142
0.7,6.0,30.0,0.1847781851205453,14.744840808040795,0.2578060417361409,0.03192971757900884
0.7,8.0,30.0,0.1847781851205453,15.478668349584229,0.2627679402030434,0.031284504458287635
0.7,10.0,30.0,0.1847781851205453,15.548708210115043,0.2646941934139368,0.03191856520849408
0.7,12.0,30.0,0.1847781851205453,15.785798862058213,0.26607979076977256,0.03208697953867084
1.0,0.5,200.0,0.16566413347548667,7.202187517718148,0.19978687467167636,0.06492464403305055
1.0,1.0,200.0,0.16566413347548667,8.893728482355328,0.20728230755140084,0.05833929723964163
1.0,2.0,30.0,0.1847781851205453,11.001196147132442,0.23550912659893802,0.052950367973426976
1.0,4.0,30.0,0.1847781851205453,13.347701646550707,0.2534407042784259,0.042162331448910455
1.0,6.0,30.0,0.1847781851205453,13.847899976440079,0.2582980366749615,0.036723564460954136
1.0,8.0,30.0,0.1847781851205453,14.423620549861468,0.26204121442892736,0.03416681342611669
1.0,10.0,30.0,0.1847781851205453,15.059346662950208,0.2649868196291956,0.03428216362957555
1.0,12.0,30.0,0.1847781851205453,15.531518400344348,0.26643668741660803,0.032766692061906896
